"LINE","BATCH_ID","LOT_ID","LOT_TYPE","PROD_NAME","STEP_NAME","PRIORITY","LOT_STATUS","QTY","LOT_CMMT","CST_ID","CST_LOCATION","LAST_TRKOUT_TIME","TRKIN_TIME","W/T(hrs)","P/T(hrs)","H/T(hrs)"
"","NA","0TE3.10","Dense","0TE3","CF_START","Normal","OnHold","10","MFG_吳明書_此10片為晨豐Soda0.4t素玻璃已搬至UPK旁PPBOX，待進行UPK新Sensor測試,請課長將帳做至PPBOX並貼標籤","MF104","","","2012/09/13 09:28:47","","","243.33"
"","NA","0TE3.6","Dense","0TE3","CF_START","Normal","Waiting","49","","1W131","","","2012/08/27 12:44:24","","",""
"CFGB","R430AC","430A1FC80010.2E","P","REWORK-R33-EXG.5","CFGB","Normal","OnHold","72","MFG_李武松_已過帳OK","1W209","","2012/09/21 18:46:43","","","","42.01"
"CFGB","R430AC","430A1FC80010.2F","P","REWORK-R33-EXG.5","CFGB","Normal","OnHold","2","","1W398","","2012/09/21 19:35:46","","","","41.27"
"CFDR","R430AC","430A1FC80010.2G","P","REWORK-R33-EXG.5","CFDR","Normal","OnHold","3","MFG_張志斌_刮傷基板，待CF施諦捷處理 (Reposition step hold)","1W381","","2012/09/15 22:08:59","2012/09/19 05:18:12","","","103.18"
"CFDR","R430AC","430A1FC80010.2H","P","REWORK-R33-EXG.5","CFDR","Normal","OnHold","5","MFG_鄭博元_OAL檢測完成,CF王子瑋指示爆點刮傷SLOT:72 HOLD給CF施諦捷處理,髒污SLOT:70 68重投910","1W110","","2012/09/23 09:24:26","","","","2.43"
"ITO2_Rework_Reverse","RBCFAC","430A1FC80080","P","REWORK-R33-EXG.7","ITO2_Rework_Reverse","Normal","OnHold","8","MFG_溫仁孝_羅翊偉指示:至ITO2進行翻轉,但SETUP時IUI顯示已翻轉不得續翻.待處理.","1W318","","2012/08/23 12:13:13","","","","124.98"
"CFGB","R430AC","430A1FC804F0.0N","P","REWORK-R33-EXG.5","CFGB","Normal","OnHold","72","MFG_李武松_過帳OK","1W472","","2012/09/21 19:13:44","","","","41.60"
"CFGB","R430A3","430A1FC804F0.0P","P","REWORK-R33-EXG.5","CFGB","Normal","OnHold","8","MFG_陳佳君_OAL OK，待BM重投","1W353","","2012/09/21 03:20:55","","","","45.64"
"CFRF_1(R33)","R430A3","430A1FC804M0.16","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","Waiting","72","","1W692","","2012/09/14 20:42:44","","208.16","",""
"CFRF_1(R33)","R430AC","430A1FC90020.15","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","Waiting","54","MFG_翁國勛_合併完成","1W120","","2012/09/17 13:31:16","2012/09/21 02:46:30","143.35","",""
"CFRS(R33)","R430AC","430A1FC901N0.05","P","REWORK-R33-EXG.5","CFRS_331","Normal","Waiting","42","MFG_翁國勛_合併完成","1W374","","2012/09/14 02:15:01","2012/09/21 03:22:27","226.62","",""
"CFRF_1(R33)","RCD053","500B1FC80010.27","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","Waiting","72","MFG_翁國勛_PE陳證文 指示PS殘污染,重投RF_331_RWF1","1W372","","2012/09/19 18:53:51","","89.97","",""
"ITO2_Rework_Reverse","RCD053","500B1FC80040.1V","P","REWORK-R33-EXG.5","ITO2_Rework_Reverse","Normal","OnHold","19","MFG_鄭博元_OAL OK，內為EXG.5基板，待ITO2作翻轉 (Reposition step hold)","1W661","","2012/09/17 21:45:20","2012/09/19 08:04:37","","","97.04"
"CFDR","RCD053","500B1FC80040.1Z","P","REWORK-R33-EXG.5","CFDR","Normal","OnHold","72","MFG_蔡楊嵩_OAL量測完成，待RWK助理判定(RWF2產出)","1W277","","2012/09/22 06:11:51","","","","30.37"
"CFRF_1(R33)","RCD053","500B1FC80040.22","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","Waiting","72","","1W607","","2012/09/21 16:31:34","","44.34","",""
"CFRF_1(R33)","RCD053","500B1FC80040.23","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","Waiting","68","","1W276","","2012/09/21 17:01:32","","43.84","",""
"CFRF_1(R33)","RCD053","500B1FC801K0.40","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","Waiting","72","MFG_吳明典_合併完成","1W469","","2012/09/20 09:18:01","","75.57","",""
"Shipping","P129111","500B1FC90090.05","P","500B1F003","2913_SORTER_CellBank","Normal","Processing","22","","","","2012/09/19 22:05:09","2012/09/23 11:26:45","","1.42",""
"ITO_Line","P129141","500B1FC900A0.0N","P","500B1F003","2710_CFIT","Normal","Processing","72","","1W034","","2012/09/23 08:06:24","2012/09/23 12:35:57","","0.27",""
"Shipping","P129111","500B1FC900A0.0V","P","500B1F003","2910_CF_COMPLETE","Normal","OnHold","72","MFG_謝瑜娟_TPM量測OK,P6_All  Chip OK,PS Grade B,待ship T1.內有PE許育誠_500B MPA2 TTP 異常區間 Turn PS Grade B 於 IS 後 Sorting","1W464","","2012/09/19 16:57:26","","","","91.81"
"ITO_Line","P129141","500B1FC900A0.1B","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W062","","2012/09/23 06:34:38","","6.29","",""
"Shipping","P129111","500B1FC900K0.04","P","500B1F003","2913_SORTER_CellBank","Normal","Waiting","29","Rejected_by_MCS","1W677","","2012/09/19 22:05:04","","86.78","",""
"CFRF_1(R33)","RCD053","500B1FC900T0.0E","P","REWORK-R33-EXG.5","CFRF_331_RWF1","Normal","Waiting","72","","1W484","","2012/09/18 09:00:41","","123.86","",""
"G_Line","P129141","500B1FC901H0.04","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W291","","2012/09/21 01:19:11","","59.55","",""
"G_Line","P129141","500B1FC901H0.06","P","500B1F003","2410_CFGL","Normal","Processing","1","","","","2012/09/21 02:46:23","2012/09/23 05:30:23","","7.36",""
"IF_Line","P129141","500B1FC901H0.0D","P","500B1F003","2510_CFIF","Normal","Processing","72","","1W035","","2012/09/23 11:13:30","2012/09/23 12:24:22","","0.46",""
"ITO_Line","P129141","500B1FC901H0.0G","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W508","","2012/09/23 09:37:46","","3.24","",""
"G_Line","P129141","500B1FC901H0.0H","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W662","","2012/09/20 22:20:29","","62.53","",""
"G_Line","P129141","500B1FC901H0.0J","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W021","","2012/09/20 22:53:59","","61.97","",""
"G_Line","P129141","500B1FC901H0.0L","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W004","","2012/09/21 10:17:02","","50.58","",""
"IF_Line","P129141","500B1FC901H0.0M","P","500B1F003","2510_CFIF","Normal","Processing","43","","","","2012/09/23 01:21:30","2012/09/23 03:03:36","","9.81",""
"ITO_Line","P129141","500B1FC901H0.0P","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W510","","2012/09/23 10:13:59","","2.63","",""
"ITO_Line","P129141","500B1FC901H0.0Q","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W300","","2012/09/23 05:59:49","","6.87","",""
"ITO_Line","P129141","500B1FC901H0.0R","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W029","","2012/09/23 06:40:55","","6.19","",""
"G_Line","P129141","500B1FC901J0.04","P","500B1F003","2410_CFGL","Normal","Processing","1","","","","2012/09/21 00:51:54","2012/09/23 03:34:08","","9.30",""
"ITO_Line","P129141","500B1FC901J0.05","P","500B1F003","2710_CFIT","Normal","Processing","5","","","","2012/09/23 10:16:45","2012/09/23 12:08:04","","0.73",""
"G_Line","P129141","500B1FC901K0.05","P","500B1F003","2410_CFGL","Normal","Processing","13","","","","2012/09/20 20:20:24","2012/09/22 22:52:10","","14",""
"IF_Line","P129141","500B1FC901K0.06","P","500B1F003","2510_CFIF","Normal","Processing","1","","","","2012/09/23 09:06:47","2012/09/23 09:54:33","","2.96",""
"IF_Line","P129141","500B1FC901K0.08","P","500B1F003","2510_CFIF","Normal","Processing","1","","","","2012/09/23 00:34:13","2012/09/23 07:49:25","","5.04",""
"IF_Line","P129141","500B1FC901K0.09","P","500B1F003","2510_CFIF","Normal","Processing","8","","","","2012/09/23 08:27:53","2012/09/23 09:20:01","","3.53",""
"IF_Line","P129141","500B1FC901K0.0B","P","500B1F003","2510_CFIF","Normal","Processing","16","","","","2012/09/23 09:34:14","2012/09/23 10:45:42","","2.11",""
"ITO_Line","P129141","500B1FC901K0.0C","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W169","","2012/09/23 12:08:26","","0.73","",""
"R32","P129141","500B1FC901M0","P","500B1F003","R32","Normal","OnHold","5","","1W230","","2012/09/22 15:21:39","","","","21.51"
"ITO_Line","P129141","500B1FC901M0.01","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W051","","2012/09/23 11:34:44","","1.29","",""
"ITO_Line","P129141","500B1FC901M0.02","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W269","","2012/09/23 09:06:33","","3.76","",""
"G_Line","P129141","500B1FC901P0.05","P","500B1F003","2410_CFGL","Normal","Processing","1","","","","2012/09/21 07:31:05","2012/09/23 09:15:44","","3.61",""
"IF_Line","P129141","500B1FC901P0.07","P","500B1F003","2510_CFIF","Normal","Processing","72","","","","2012/09/23 10:31:26","2012/09/23 12:03:19","","0.81",""
"IF_Line","P129141","500B1FC901S0.01","P","500B1F003","2510_CFIF","Normal","Waiting","72","","1W577","","2012/09/23 11:56:29","","0.93","",""
"G_Line","P129141","500B1FC901S0.02","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W032","","2012/09/20 23:53:20","","60.98","",""
"ITO_Line","P129141","500B1FC901S0.05","P","500B1F003","2710_CFIT","Normal","Processing","72","","","","2012/09/23 07:22:41","2012/09/23 12:16:29","","0.59",""
"IF_Line","P129141","500B1FC901S0.06","P","500B1F003","2510_CFIF","Normal","Processing","2","","","","2012/09/23 09:40:04","2012/09/23 11:54:16","","0.96",""
"ITO_Line","P129141","500B1FC901S0.07","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W193","","2012/09/23 08:13:30","","4.64","",""
"ITO_Line","P129141","500B1FC901S0.09","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W165","","2012/09/23 08:57:28","","3.91","",""
"G_Line","P129141","500B1FC901Z0.04","P","500B1F003","2410_CFGL","Normal","Processing","4","","","","2012/09/21 05:45:52","2012/09/23 08:05:05","","4.78",""
"G_Line","P129141","500B1FC901Z0.06","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W378","","2012/09/22 07:49:16","","29.05","",""
"ITO_Line","P129141","500B1FC901Z0.07","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W075","","2012/09/23 10:55:42","","1.94","",""
"IF_Line","P129141","500B1FC901Z0.09","P","500B1F003","2510_CFIF","Normal","Processing","13","","","","2012/09/23 10:01:49","2012/09/23 11:19:34","","1.54",""
"G_Line","P129141","500B1FC90200.01","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W147","","2012/09/22 08:49:14","","28.05","",""
"G_Line","P129141","500B1FC90240.02","P","500B1F003","2410_CFGL","Normal","Processing","16","","","","2012/09/22 05:25:19","2012/09/23 10:43:02","","2.15",""
"G_Line","P129141","500B1FC90240.03","P","500B1F003","2410_CFGL","Normal","Processing","72","","","","2012/09/22 06:08:08","2012/09/23 11:38:51","","1.22",""
"IF_Line","P129141","500B1FC90240.04","P","500B1F003","2510_CFIF","Normal","Waiting","72","","1W316","","2012/09/23 12:23:42","","0.47","",""
"G_Line","P129141","500B1FC90250.03","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W142","","2012/09/21 09:18:45","","51.55","",""
"G_Line","P129141","500B1FC90250.05","P","500B1F003","2410_CFGL","Normal","Processing","8","","","","2012/09/21 10:41:54","2012/09/22 21:08:53","","15.72",""
"G_Line","P129141","500B1FC90270.03","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W245","","2012/09/22 09:18:26","","27.56","",""
"G_Line","P129141","500B1FC90270.05","P","500B1F003","2410_CFGL","Normal","Processing","19","","","","2012/09/22 03:08:48","2012/09/23 10:12:00","","2.67",""
"G_Line","P129141","500B1FC90280.03","P","500B1F003","2410_CFGL","Normal","Processing","20","","","","2012/09/22 02:16:46","2012/09/23 09:45:36","","3.11",""
"ITO_Line","P129141","500B1FC90290.02","P","500B1F003","2710_CFIT","Normal","Waiting","72","","1W349","","2012/09/23 09:55:00","","2.95","",""
"G_Line","P129141","500B1FC902A0.02","P","500B1F003","2410_CFGL","Normal","Processing","72","","","","2012/09/22 06:50:14","2012/09/23 11:58:30","","0.89",""
"G_Line","P129141","500B1FC902D0.01","P","500B1F003","2410_CFGL","Normal","Waiting","72","","1W579","","2012/09/22 08:19:32","","28.54","",""
"G_Line","P129141","500B1FC902D0.02","P","500B1F003","2410_CFGL","Normal","Processing","72","","1W303","","2012/09/22 07:19:45","2012/09/23 12:28:02","","0.40",""
"CFRS(R33)","R500CC","500C1FC90110.01","P","REWORK-R33-EXG.5","CFRS_331","Normal","Waiting","1","","1W214","","2012/09/14 18:54:42","","209.96","",""
"CFRS(R33)","RCD053","500D1FC70010.0U","P","REWORK-R33-EXG.5","CFRS_331","Normal","Waiting","72","","1W170","","2012/09/10 11:57:04","","312.92","",""
"CFDR","RCD052","500D1FC70010.24","P","REWORK-R32-EXG.5","CFDR2","Normal","OnHold","28","MFG_李秀媛_內為700P基板，EDA無資料，待整合確認 (Reposition step hold)","1W480","","2012/08/09 19:58:41","2012/08/10 19:13:23","","","1048.60"
"R33","E127042","500E1FC70010.10","E","500E1F003","R33","Normal","OnHold","11","MFG_吳明書_5吋DN 0.4t暫不form Rework batch","1C445","","2012/07/21 02:01:06","","","","923.75"
"R33","E128313","500G1FC70010.0R","E","500G1F003","R33","Normal","OnHold","4","MFG_吳明書_5吋GOP0.4t基板，暫不form rework batch,可與其他500G合併","1C022","","2012/08/01 13:24:23","","","","431.23"
